"","x"
"690","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_140019900 PE=4 SV=1"
"691","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_150009500 PE=4 SV=1"
"692","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_150014300 PE=4 SV=1"
"693","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_150015700 PE=4 SV=1"
"694","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_160010300 PE=4 SV=1"
"695","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_160018100 PE=4 SV=1"
"696","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_160020100 PE=4 SV=1"
"697","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_170005000 PE=4 SV=1"
"698","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_170008200 PE=4 SV=1"
"699","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_170013300 PE=4 SV=1"
"700","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_170019700 PE=4 SV=1"
"701","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_170020100 PE=4 SV=1"
"702","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_180007800 PE=4 SV=1"
"703","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_180010400 PE=4 SV=1"
"704","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_180013400 PE=3 SV=1"
"705","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_180022100 PE=4 SV=1"
"706","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_190009800 PE=4 SV=1"
"707","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_190011400 PE=4 SV=2"
"708","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_190015900 PE=4 SV=1"
"709","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_190017000 PE=4 SV=1"
"710","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_200005800 PE=4 SV=1"
"711","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_200012200 PE=4 SV=1"
"712","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_200020400 PE=4 SV=1"
"713","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_210007100 PE=4 SV=1"
"714","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_210009700 PE=4 SV=1"
"715","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_210011600 PE=4 SV=1"
"716","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_210013300 PE=4 SV=1"
"717","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_210017000 PE=4 SV=1"
"718","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_210021300 PE=4 SV=1"
"719","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_210021400 PE=4 SV=2"
"720","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_210021800 PE=4 SV=1"
"721","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_210023600 PE=4 SV=1"
"722","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_210024400 PE=4 SV=1"
"723","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_210026400 PE=4 SV=1"
"724","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_220006400 PE=4 SV=1"
"725","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_220006800 PE=4 SV=1"
"726","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_220007000 PE=4 SV=2"
"727","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_220008000 PE=4 SV=1"
"728","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_220008800 PE=4 SV=1"
"729","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_220009100 PE=3 SV=1"
"730","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_220015800 PE=4 SV=2"
"731","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_220015900 PE=4 SV=1"
"732","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_220016800 PE=4 SV=1"
"733","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_220022400 PE=4 SV=1"
"734","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_230005000 PE=4 SV=1"
"735","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_230008600 PE=4 SV=1"
"736","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_230011000 PE=4 SV=1"
"737","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_230014100 PE=4 SV=1"
"738","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_230016400 PE=4 SV=1"
"739","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_230018400 PE=4 SV=1"
"740","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_230018500 PE=4 SV=1"
"741","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_230019400 PE=4 SV=1"
"742","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_230019600 PE=4 SV=1"
"743","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_230025400 PE=4 SV=1"
"744","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_240010700 PE=4 SV=1"
"745","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_240021100 PE=4 SV=1"
"746","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_240024000 PE=4 SV=1"
"747","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_250007300 PE=4 SV=1"
"748","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_250011100 PE=4 SV=1"
"749","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_250016700 PE=4 SV=1"
"750","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_250018300 PE=4 SV=1"
"751","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_250019200 PE=4 SV=1"
"752","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_250022600 PE=4 SV=1"
"753","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_250022700 PE=4 SV=1"
"754","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_250024700 PE=4 SV=1"
"755","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_250025000 PE=4 SV=1"
"756","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_250027100 PE=4 SV=1"
"757","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_250027800 PE=4 SV=1"
"758","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_250031400 PE=4 SV=1"
"759","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260007800 PE=4 SV=1"
"760","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260009700 PE=4 SV=1"
"761","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260013300 PE=4 SV=1"
"762","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260015000 PE=4 SV=1"
"763","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260015400 PE=4 SV=1"
"764","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260016000 PE=4 SV=1"
"765","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260018000 PE=4 SV=2"
"766","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260018100 PE=4 SV=1"
"767","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260018600 PE=4 SV=1"
"768","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260023900 PE=4 SV=1"
"769","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260024300 PE=4 SV=1"
"770","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260024900 PE=4 SV=1"
"771","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260027400 PE=4 SV=1"
"772","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260028100 PE=4 SV=1"
"773","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260029700 PE=4 SV=1"
"774","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260032200 PE=4 SV=1"
"775","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_270005600 PE=4 SV=1"
"776","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_270009500 PE=4 SV=1"
"777","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_270012500 PE=4 SV=1"
"778","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_270023800 PE=4 SV=1"
"779","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_270028000 PE=4 SV=1"
"780","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_280015300 PE=4 SV=1"
"781","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_280021500 PE=4 SV=1"
"782","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_290009200 PE=4 SV=1"
"783","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_290009400 PE=4 SV=1"
"784","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_290014300 PE=4 SV=1"
"785","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_290017000 PE=4 SV=1"
"786","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_290018900 PE=4 SV=1"
"787","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_290021100 PE=4 SV=1"
"788","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_290026300 PE=4 SV=1"
"789","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_290028300 PE=4 SV=1"
"790","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_290029600 PE=4 SV=1"
"791","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_290033600 PE=4 SV=1"
"792","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_290036500 PE=4 SV=1"
"793","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_300016000 PE=4 SV=1"
"794","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_300021000 PE=4 SV=1"
"795","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_300027800 PE=4 SV=1"
"796","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_300028700 PE=4 SV=1"
"797","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_300029400 PE=4 SV=1"
"798","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_300033800 PE=4 SV=1"
"799","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_300033900 PE=4 SV=1"
"800","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_300034100 PE=4 SV=1"
"801","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_310005700 PE=4 SV=1"
"802","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_310016200 PE=4 SV=1"
"803","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_310016600 PE=4 SV=1"
"804","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_310020800 PE=4 SV=1"
"805","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_310030900 PE=4 SV=1"
"806","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_310035500 PE=4 SV=1"
"807","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_310037100 PE=4 SV=1"
"808","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_310037400 PE=4 SV=1"
"809","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320006300 PE=4 SV=1"
"810","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320007000 PE=3 SV=1"
"811","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320007800 PE=4 SV=1"
"812","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320012700 PE=4 SV=1"
"813","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320013800 PE=4 SV=1"
"814","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320013900 PE=4 SV=1"
"815","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320025000 PE=4 SV=1"
"816","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320027600 PE=4 SV=1"
"817","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320037100 PE=4 SV=1"
"818","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320041400 PE=4 SV=1"
"819","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320043300 PE=4 SV=1"
"820","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320043600 PE=4 SV=1"
"821","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330012100 PE=4 SV=2"
"822","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330016400 PE=4 SV=1"
"823","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330017800 PE=4 SV=1"
"824","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330018200 PE=4 SV=1"
"825","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330024600 PE=4 SV=1"
"826","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330032700 PE=4 SV=1"
"827","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330033400 PE=4 SV=1"
"828","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330033600 PE=4 SV=1"
"829","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330033900 PE=4 SV=1"
"830","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330037300 PE=4 SV=1"
"831","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330039600 PE=4 SV=1"
"832","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340008900 PE=4 SV=1"
"833","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340009000 PE=4 SV=1"
"834","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340009200 PE=4 SV=1"
"835","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340012900 PE=4 SV=1"
"836","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340014900 PE=4 SV=1"
"837","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340022100 PE=4 SV=1"
"838","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340026500 PE=4 SV=1"
"839","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340034000 PE=3 SV=1"
"840","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340038100 PE=4 SV=1"
"841","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340041500 PE=4 SV=1"
"842","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340047900 PE=4 SV=1"
"843","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340049800 PE=4 SV=1"
"844","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340052400 PE=4 SV=1"
"845","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350006500 PE=4 SV=1"
"846","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350006600 PE=3 SV=1"
"847","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350008100 PE=4 SV=1"
"848","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350011300 PE=4 SV=1"
"849","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350019700 PE=4 SV=2"
"850","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350023200 PE=4 SV=1"
"851","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350035000 PE=4 SV=1"
"852","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350036400 PE=4 SV=1"
"853","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350039100 PE=4 SV=1"
"854","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350044400 PE=4 SV=1"
"855","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350048500 PE=4 SV=1"
"856","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350050600 PE=4 SV=1"
"857","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350056200 PE=4 SV=1"
"858","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350058400 PE=4 SV=1"
"859","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360010100 PE=4 SV=1"
"860","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360015500 PE=4 SV=1"
"861","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360017100 PE=4 SV=1"
"862","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360017500 PE=4 SV=1"
"863","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360023900 PE=4 SV=1"
"864","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360029800 PE=4 SV=1"
"865","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360034600 PE=4 SV=1"
"866","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360042400 PE=4 SV=1"
"867","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360047800 PE=4 SV=1"
"868","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360049500 PE=4 SV=1"
"869","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360052000 PE=4 SV=1"
"870","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360053900 PE=4 SV=1"
"871","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360054500 PE=4 SV=2"
"872","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360055600 PE=4 SV=1"
"873","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360060500 PE=4 SV=1"
"874","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360060800 PE=4 SV=1"
"875","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360066800 PE=4 SV=2"
"876","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360073900 PE=4 SV=1"
"877","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360075800 PE=4 SV=1"
"878","Hypoxanthine phosphoribosyltransferase OS=Leishmania infantum OX=5671 GN=HGPRT PE=3 SV=1"
"879","I/6 autoantigen-like protein OS=Leishmania infantum OX=5671 GN=LINF_220020700 PE=4 SV=1"
"880","Importin subunit alpha OS=Leishmania infantum OX=5671 GN=LINF_300016800 PE=3 SV=1"
"881","Importin_1 OS=Leishmania infantum OX=5671 GN=LINF_350028600 PE=4 SV=1"
"882","Importin_beta-1_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340010100 PE=4 SV=1"
"883","Inhibitor of cysteine peptidase OS=Leishmania infantum OX=5671 GN=LINF_240023700 PE=4 SV=1"
"884","Inorganic diphosphatase OS=Leishmania infantum OX=5671 GN=LINF_030014200 PE=3 SV=1"
"885","Inorganic diphosphatase OS=Leishmania infantum OX=5671 GN=LINF_110007000 PE=3 SV=2"
"886","Inosine triphosphate pyrophosphatase OS=Leishmania infantum OX=5671 GN=LINF_360055700 PE=3 SV=1"
"887","Inosine-5'-monophosphate dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_190022000 PE=3 SV=1"
"888","Inosine-adenosine-guanosine-nucleosidehydrolase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290035800 PE=3 SV=1"
"889","Inosine-guanine_nucleoside_hydrolase_-_putative OS=Leishmania infantum OX=5671 GN=nh2 PE=4 SV=1"
"890","Inosine-uridine preferring nucleoside hydrolase OS=Leishmania infantum OX=5671 GN=iunh PE=3 SV=1"
"891","Inosine-uridine_preferring_nucleoside_hydrolase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260008400 PE=3 SV=1"
"892","Inositol phosphosphingolipid phospholipase C-Like OS=Leishmania infantum OX=5671 GN=ISCL PE=3 SV=1"
"893","Inositol-3-phosphate synthase OS=Leishmania infantum OX=5671 GN=INO1 PE=3 SV=1"
"894","Intergrin_alpha_chain_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310006100 PE=4 SV=1"
"895","Intraflagellar transport protein 122 homolog OS=Leishmania infantum OX=5671 GN=LINF_360015800 PE=4 SV=1"
"896","Intraflagellar_transport_complex_B_protein_46_C_t erminal_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300022600 PE=3 SV=1"
"897","Intraflagellar_transport_protein_140_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320008200 PE=4 SV=1"
"898","Intraflagellar_transport_protein_172_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210017400 PE=4 SV=1"
"899","Intraflagellar_transport_protein_43_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270026700 PE=4 SV=1"
"900","Intraflagellar_transport_protein_52_-_putative OS=Leishmania infantum OX=5671 GN=LINF_190008100 PE=4 SV=2"
"901","Intraflagellar_transport_protein_57/55_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330013100 PE=3 SV=1"
"902","Intraflagellar_transport_protein_80_-_putative OS=Leishmania infantum OX=5671 GN=LINF_190008200 PE=4 SV=1"
"903","Intraflagellar_transport_protein_88_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270017700 PE=4 SV=1"
"904","Iron-binding_zinc_finger_CDGSH_type_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350018600 PE=4 SV=1"
"905","Iron-sulfur_assembly_protein_2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350018300 PE=4 SV=1"
"906","Isocitrate dehydrogenase [NADP] OS=Leishmania infantum OX=5671 GN=LINF_100008300 PE=3 SV=1"
"907","Isocitrate dehydrogenase [NADP] OS=Leishmania infantum OX=5671 GN=LINF_330034700 PE=3 SV=1"
"908","Isoleucyl-tRNA synthetase OS=Leishmania infantum OX=5671 GN=ILERS PE=3 SV=1"
"909","Isopentenyl-diphosphate_delta-isomerase_(Type_II)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350058900 PE=3 SV=1"
"910","Isoprenylcysteine_alpha-carbonyl_methylesterase_-_putative OS=Leishmania infantum OX=5671 GN=LiISP3 PE=4 SV=1"
"911","Isovaleryl-coA_dehydrogenase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270015600 PE=3 SV=1"
"912","KH_domain/Domain_of_uncharacterized_function_(DUF 1771)/Smr_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310036800 PE=4 SV=1"
"913","KH_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270019700 PE=4 SV=1"
"914","Kinase-like protein OS=Leishmania infantum OX=5671 GN=LINF_030010900 PE=3 SV=1"
"915","Kinesin_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300020100 PE=3 SV=1"
"916","Kinesin_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350026000 PE=3 SV=1"
"917","Kinesin-13_6_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350052800 PE=3 SV=1"
"918","Kinesin-like protein OS=Leishmania infantum OX=5671 GN=LINF_130021600 PE=3 SV=1"
"919","Kinesin-like protein OS=Leishmania infantum OX=5671 GN=LINF_190007400 PE=3 SV=1"
"920","Kinesin-like protein OS=Leishmania infantum OX=5671 GN=LINF_230013200 PE=3 SV=1"
"921","Kinesin-like protein OS=Leishmania infantum OX=5671 GN=LINF_240011400 PE=3 SV=1"
"922","Kinesin-like protein OS=Leishmania infantum OX=5671 GN=LINF_300008500 PE=3 SV=1"
"923","Kinesin-like_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360061000 PE=3 SV=1"
"924","Kinetoplast_polyadenylation/uridylation_factor_1 OS=Leishmania infantum OX=5671 GN=LINF_180005000 PE=4 SV=1"
"925","Kinetoplast-associated_protein_3_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320045000 PE=4 SV=1"
"926","Kinetoplastid membrane protein-11 OS=Leishmania infantum OX=5671 GN=KMP11-1 PE=3 SV=1"
"927","Kynureninase OS=Leishmania infantum OX=5671 GN=KYNU PE=3 SV=1"
"928","L-2-hydroxyglutarate_dehydrogenase_-_mitochondrial_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360064300 PE=4 SV=1"
"929","La_RNA_binding_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210011000 PE=4 SV=1"
"930","Lanosterol_synthase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_060012100 PE=3 SV=1"
"931","Leishmanolysin OS=Leishmania infantum OX=5671 GN=GP63-2 PE=3 SV=1"
"932","Leishmanolysin OS=Leishmania infantum OX=5671 GN=GP63-3 PE=3 SV=2"
