Proteins,Eliot PAR,Clov PAR,Tato PAR,Samo PAR,Flash PAR,Gus 2 PAR, Fritz 2 PAR,Tessa 2 PAR,Fritz 1 PAR,Tessa 1 PAR,Gus 1 PAR
Protein-serine/threonine kinase OS=Leishmania infantum OX=5671 GN=LINJ_24_0010 PE=3 SV=1,2,1,1,0,3,1,0,1,2,0,2
Protein-serine/threonine phosphatase OS=Leishmania infantum OX=5671 GN=LINF_180006500 PE=3 SV=1,27,29,27,32,30,29,37,22,35,30,28
Protoporphyrinogen oxidase-like protein OS=Leishmania infantum OX=5671 GN=LINF_060019000 PE=4 SV=1,10,6,6,12,9,5,6,6,9,9,5
Pteridine reductase 1 OS=Leishmania infantum OX=5671 GN=PTR1 PE=4 SV=1,14,7,6,10,11,17,16,6,15,18,16
Pteridine_transporter_(Truncated)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_060018800 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
PTP1-interacting_protein_-_39_kDa_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340019600 PE=4 SV=1,5,3,4,4,9,12,6,5,5,3,10
PUB_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360006300 PE=4 SV=1,1,2,1,0,1,1,1,2,1,1,2
PUF1_-_putative OS=Leishmania infantum OX=5671 GN=PUF1 PE=4 SV=1,13,8,7,15,12,16,14,14,6,7,19
Pumilio/PUF_RNA_binding_protein_7_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320023200 PE=4 SV=1,12,17,8,21,17,14,20,10,5,13,13
Pumilio_protein_2_-_putative OS=Leishmania infantum OX=5671 GN=PUF2 PE=4 SV=1,1,2,1,2,3,1,3,1,4,1,0
Pumilio_protein_6_-_putative OS=Leishmania infantum OX=5671 GN=PUF6 PE=4 SV=1,10,7,5,8,12,10,8,5,7,4,5
Pumillio_protein_10_-_putative OS=Leishmania infantum OX=5671 GN=PUF10 PE=4 SV=1,7,5,7,5,9,9,8,6,4,6,5
Pumillio_protein_8_-_putative OS=Leishmania infantum OX=5671 GN=PUF8 PE=4 SV=1,4,4,5,10,5,5,6,6,2,4,5
Putative 3-ketoacyl-CoA thiolase-like protein OS=Leishmania infantum OX=5671 GN=LINJ_31_1660 PE=3 SV=2,20,26,39,23,20,39,24,42,41,23,35
Putative 40S ribosomal protein L14 OS=Leishmania infantum OX=5671 GN=LINJ_22_1370 PE=3 SV=1,13,12,10,15,11,12,16,16,11,11,10
Putative 40S ribosomal protein S4 OS=Leishmania infantum OX=5671 GN=LINJ_13_1130 PE=3 SV=1,52,60,43,62,58,56,59,69,52,48,57
Putative 60S ribosomal protein L17 OS=Leishmania infantum OX=5671 GN=LINF_240005200 PE=3 SV=1,11,14,10,15,8,15,15,15,16,13,10
Putative 60S ribosomal protein L19 OS=Leishmania infantum OX=5671 GN=LINF_060009400 PE=3 SV=1,39,111,135,122,54,13,31,12,26,19,10
Putative 60S ribosomal protein L7 OS=Leishmania infantum OX=5671 GN=LINJ_26_0150 PE=3 SV=1,13,19,15,13,20,29,13,17,10,9,15
Putative 60S ribosomal subunit protein L31 OS=Leishmania infantum OX=5671 GN=LINJ_35_3340 PE=3 SV=1,30,38,31,33,27,25,41,31,36,28,24
Putative adaptor complex AP-1 medium subunit OS=Leishmania infantum OX=5671 GN=LINJ_22_0960 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Putative ama1 protein OS=Leishmania infantum OX=5671 GN=LINJ_30_1490 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
"Putative ATP-binding cassette protein subfamily B, member 3 OS=Leishmania infantum OX=5671 GN=LINJ_32_3280 PE=4 SV=1",0,1,4,7,0,0,1,0,2,0,0
Putative ATP-dependent RNA helicase (Fragment) OS=Leishmania infantum OX=5671 GN=LINJ_17_1020 PE=4 SV=1,0,4,1,0,2,0,0,1,1,0,1
Putative ATP-dependent RNA helicase OS=Leishmania infantum OX=5671 GN=LINJ_17_1030 PE=4 SV=2,2,3,3,0,6,1,3,1,2,5,0
Putative calpain-like cysteine peptidase OS=Leishmania infantum OX=5671 GN=LINF_200018000 PE=4 SV=1,14,7,25,23,30,28,16,31,24,20,21
Putative cAMP-specific phosphodiesterase OS=Leishmania infantum OX=5671 GN=LINF_040005200 PE=4 SV=1,2,3,5,0,2,4,2,5,11,8,8
"Putative co-chaperone, GrpE OS=Leishmania infantum OX=5671 GN=LINJ_30_0770 PE=3 SV=1",3,2,3,5,4,2,3,2,4,3,3
"Putative cysteine peptidase, Clan CA, family C2 OS=Leishmania infantum OX=5671 GN=LINJ_27_2520 PE=4 SV=1",125,131,74,41,62,45,46,71,73,116,61
Putative DNAJ domain protein OS=Leishmania infantum OX=5671 GN=LINF_360010300 PE=4 SV=1,4,6,3,5,3,3,4,3,2,0,3
Putative eukaryotic initiation factor 5a OS=Leishmania infantum OX=5671 GN=EIF5A2 PE=3 SV=1,64,71,47,58,42,52,46,49,55,49,43
Putative eukaryotic translation initiation factor 2 subunit OS=Leishmania infantum OX=5671 GN=LINF_090018100 PE=4 SV=1,60,64,55,65,63,57,66,53,66,71,53
Putative folate/biopterin transporter OS=Leishmania infantum OX=5671 GN=FT5 PE=3 SV=1,0,0,0,3,0,1,0,0,0,0,0
Putative folate/biopterin transporter OS=Leishmania infantum OX=5671 GN=LINJ_10_0390 PE=3 SV=2,3,0,1,1,1,0,0,2,0,8,0
Putative G-actin binding protein OS=Leishmania infantum OX=5671 GN=LINF_340028300 PE=3 SV=1,7,4,7,3,6,8,13,18,16,2,15
Putative glutamine synthetase OS=Leishmania infantum OX=5671 GN=LINJ_06_0370 PE=3 SV=1,37,35,27,28,31,26,27,26,45,43,24
Putative GTP-binding protein OS=Leishmania infantum OX=5671 GN=LINF_350058700 PE=4 SV=1,5,6,3,5,9,2,6,1,4,7,1
Putative homocysteine S-methyltransferase (Fragment) OS=Leishmania infantum OX=5671 GN=LINJ_36_6570 PE=4 SV=2,0,1,0,2,0,0,0,2,0,1,0
Putative IgE-dependent histamine-releasing factor OS=Leishmania infantum OX=5671 GN=LINF_240020500 PE=3 SV=1,48,57,43,39,46,46,47,36,49,53,43
Putative immunodominant antigen OS=Leishmania infantum OX=5671 GN=LINF_140015400 PE=4 SV=1,13,15,12,14,8,20,32,27,14,11,22
Putative kinesin OS=Leishmania infantum OX=5671 GN=LINJ_19_0680 PE=3 SV=2,0,0,0,0,0,0,0,0,0,0,0
Putative lanosterol 14-alpha-demethylase OS=Leishmania infantum OX=5671 GN=CYP51 PE=1 SV=1,34,22,28,43,28,55,44,32,34,37,73
Putative MAR1 ribonuclease OS=Leishmania infantum OX=5671 GN=LINF_120005600 PE=3 SV=2,0,0,3,1,5,4,0,4,11,3,3
Putative nonspecific lipid-transfer protein OS=Leishmania infantum OX=5671 GN=LINF_150007700 PE=4 SV=1,2,5,5,3,5,1,4,3,4,3,3
Putative nucleolar RNA binding protein OS=Leishmania infantum OX=5671 GN=LINJ_15_1430 PE=4 SV=1,23,24,23,31,31,21,30,24,31,25,19
Putative nucleolar RNA-binding protein OS=Leishmania infantum OX=5671 GN=LINJ_07_1140 PE=4 SV=2,19,38,10,9,11,7,18,10,15,27,6
Putative p22 protein OS=Leishmania infantum OX=5671 GN=LINJ_30_1030 PE=4 SV=1,4,6,5,9,8,3,6,3,9,5,5
Putative p450 reductase OS=Leishmania infantum OX=5671 GN=LINF_280018200 PE=4 SV=1,9,8,1,16,9,5,15,5,11,9,6
Putative p-nitrophenylphosphatase OS=Leishmania infantum OX=5671 GN=LINF_310031700 PE=4 SV=1,0,0,4,0,0,0,2,10,2,0,3
Putative p-nitrophenylphosphatase OS=Leishmania infantum OX=5671 GN=LINJ_31_2410 PE=4 SV=1,6,3,4,4,5,5,2,7,4,2,4
Putative PRP8 protein homologue OS=Leishmania infantum OX=5671 GN=LINJ_35_4000 PE=4 SV=1,3,7,7,5,6,4,5,3,3,3,1
Putative P-type ATPase OS=Leishmania infantum OX=5671 GN=LINF_170012300 PE=4 SV=1,8,8,3,8,3,3,5,3,4,8,5
Putative pyroglutamyl-peptidase I (PGP) OS=Leishmania infantum OX=5671 GN=LINF_340025000 PE=3 SV=1,0,0,1,1,1,3,2,1,3,1,3
Putative pyruvate dehydrogenase E1 component alpha subunit OS=Leishmania infantum OX=5671 GN=LINF_180019200 PE=4 SV=1,55,52,52,60,49,50,58,58,77,51,59
Putative quinone oxidoreductase OS=Leishmania infantum OX=5671 GN=LINF_030010500 PE=4 SV=1,3,6,2,1,1,1,3,3,2,1,2
Putative rab1 small GTP-binding protein OS=Leishmania infantum OX=5671 GN=LINF_100018900 PE=4 SV=1,13,15,13,15,14,15,14,14,15,10,14
Putative rab11B GTPase OS=Leishmania infantum OX=5671 GN=LINF_320024200 PE=4 SV=1,8,8,12,10,14,5,11,7,8,6,5
Putative rab7 GTP binding protein OS=Leishmania infantum OX=5671 GN=RAB7 PE=4 SV=1,14,13,15,17,19,13,15,20,15,12,15
Putative rab-like GTPase activating protein OS=Leishmania infantum OX=5671 GN=LINF_360070700 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Putative rac serine-threonine kinase OS=Leishmania infantum OX=5671 GN=LINF_300013400 PE=4 SV=1,6,6,1,2,1,4,4,3,1,2,6
Putative Ran-binding protein 1 OS=Leishmania infantum OX=5671 GN=LINF_130020200 PE=4 SV=1,3,4,2,5,4,4,5,3,4,4,5
Putative ras-like small GTPases OS=Leishmania infantum OX=5671 GN=LINF_050005200 PE=3 SV=1,15,15,14,12,15,18,17,16,25,13,18
Putative ras-like small GTPases OS=Leishmania infantum OX=5671 GN=LINF_130021100 PE=3 SV=1,2,2,3,1,2,0,1,0,0,4,1
Putative ras-like small GTPases OS=Leishmania infantum OX=5671 GN=LINF_290005800 PE=4 SV=1,3,2,1,1,2,0,2,3,3,2,2
Putative ras-like small GTPases OS=Leishmania infantum OX=5671 GN=LINF_310014400 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Putative ras-related protein rab-14 OS=Leishmania infantum OX=5671 GN=LINF_070011100 PE=4 SV=1,0,1,1,1,0,1,2,0,2,1,1
Putative ras-related protein rab-2a OS=Leishmania infantum OX=5671 GN=LINF_320026400 PE=4 SV=1,2,3,7,3,3,0,6,2,1,0,1
Putative ras-related protein rab-5 OS=Leishmania infantum OX=5671 GN=LINF_180016700 PE=1 SV=1,13,17,14,14,15,13,24,12,23,17,14
Putative reductase OS=Leishmania infantum OX=5671 GN=LINF_270013400 PE=4 SV=1,0,0,0,0,1,1,0,2,0,1,1
Putative reiske iron-sulfur protein OS=Leishmania infantum OX=5671 GN=LINF_350020400 PE=3 SV=2,36,39,29,50,36,30,35,36,36,33,32
Putative replication Factor A 28 kDa subunit OS=Leishmania infantum OX=5671 GN=LINF_150008000 PE=3 SV=1,12,11,9,12,10,9,13,12,6,11,11
"Putative ribonucleoprotein p18, mitochondrial OS=Leishmania infantum OX=5671 GN=LINF_150008100 PE=4 SV=1",33,45,29,44,39,46,41,49,50,49,53
"Putative ribonucleoprotein p18, mitochondrial OS=Leishmania infantum OX=5671 GN=LINF_150008200 PE=4 SV=1",32,43,29,40,36,43,35,45,46,45,48
Putative ribonucleoside-diphosphate reductase small chain OS=Leishmania infantum OX=5671 GN=LINF_270027600 PE=3 SV=1,11,6,7,13,6,5,13,7,3,1,6
Putative ribose 5-phosphate isomerase OS=Leishmania infantum OX=5671 GN=LINF_280026200 PE=1 SV=1,5,4,5,3,3,2,9,2,1,4,4
Putative ribose-phosphate pyrophosphokinase OS=Leishmania infantum OX=5671 GN=LINF_080010200 PE=3 SV=1,2,2,2,2,4,1,6,1,1,5,2
Putative ribosomal protein L1a OS=Leishmania infantum OX=5671 GN=LINF_290016600 PE=3 SV=2,91,99,86,84,90,88,102,82,96,80,71
Putative ribosomal protein L1a OS=Leishmania infantum OX=5671 GN=LINJ_29_1180 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Putative ribosomal protein L24 OS=Leishmania infantum OX=5671 GN=LINF_360016500 PE=3 SV=2,6,7,6,8,7,5,9,6,6,5,4
Putative ribosomal protein L3 OS=Leishmania infantum OX=5671 GN=LINF_320038800 PE=3 SV=1,134,150,121,125,127,116,138,118,108,132,102
Putative ribosomal protein l35a OS=Leishmania infantum OX=5671 GN=LINF_100005600 PE=3 SV=1,35,23,31,33,25,25,27,33,18,23,22
Putative ribosomal protein L38 OS=Leishmania infantum OX=5671 GN=LINF_030007300 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Putative ribosomal protein S20 OS=Leishmania infantum OX=5671 GN=LINF_280015700 PE=3 SV=1,30,29,25,21,27,31,27,14,27,26,23
Putative ribosomal protein S29 OS=Leishmania infantum OX=5671 GN=LINF_280028800 PE=3 SV=1,2,3,0,0,0,1,0,0,1,0,0
Putative ribosomal RNA processing protein OS=Leishmania infantum OX=5671 GN=LINF_020008200 PE=4 SV=1,7,10,3,3,8,4,8,3,1,9,6
Putative ribosome biogenesis protein OS=Leishmania infantum OX=5671 GN=LINF_200021200 PE=3 SV=1,2,2,2,3,3,3,2,2,1,1,2
Putative ribulose-phosphate 3-epimerase OS=Leishmania infantum OX=5671 GN=LINF_350042200 PE=4 SV=1,2,2,4,3,4,4,4,2,4,2,4
Putative RNA binding protein OS=Leishmania infantum OX=5671 GN=LINF_180010900 PE=4 SV=1,3,2,3,2,7,3,5,1,2,5,1
Putative RNA binding protein OS=Leishmania infantum OX=5671 GN=LINF_320013000 PE=4 SV=1,49,47,56,67,44,56,82,54,39,29,35
Putative RNA binding protein OS=Leishmania infantum OX=5671 GN=LINJ_19_0290 PE=4 SV=1,3,4,0,1,3,2,5,3,4,3,3
Putative RNA binding protein rbp16 OS=Leishmania infantum OX=5671 GN=LINF_280013700 PE=4 SV=1,16,18,16,17,20,17,19,15,26,22,16
Putative RNA guanylyltransferase OS=Leishmania infantum OX=5671 GN=LINJ_32_1420 PE=4 SV=1,11,10,13,13,10,4,13,9,9,9,7
Putative RNA helicase OS=Leishmania infantum OX=5671 GN=LINF_210011700 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Putative RNA helicase OS=Leishmania infantum OX=5671 GN=LINJ_21_1820 PE=4 SV=1,33,26,28,38,31,36,32,41,44,17,33
Putative RNA polymerase-like protein OS=Leishmania infantum OX=5671 GN=LINF_320018500 PE=3 SV=1,11,10,14,7,13,6,7,6,8,10,5
Putative RNA processing factor 1 OS=Leishmania infantum OX=5671 GN=LINF_270009600 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Putative RNA-binding protein OS=Leishmania infantum OX=5671 GN=LINF_040016900 PE=4 SV=1,17,14,19,16,15,15,20,27,21,13,21
Putative RNA-binding protein OS=Leishmania infantum OX=5671 GN=LINF_170011800 PE=4 SV=1,3,4,2,2,4,1,7,1,1,0,2
Putative RNA-binding protein OS=Leishmania infantum OX=5671 GN=LINF_270028100 PE=4 SV=1,14,25,20,23,15,12,27,18,22,18,13
Putative RNA-binding protein OS=Leishmania infantum OX=5671 GN=LINF_300016700 PE=4 SV=1,14,18,11,8,9,5,11,6,12,15,5
Putative RNA-binding protein OS=Leishmania infantum OX=5671 GN=LINF_320035200 PE=4 SV=1,0,1,0,2,0,1,1,0,0,0,0
Putative RNA-binding protein OS=Leishmania infantum OX=5671 GN=LINF_350027200 PE=4 SV=1,52,63,58,52,65,67,68,59,74,52,53
"Putative RNA-binding, protein OS=Leishmania infantum OX=5671 GN=LINF_320042200 PE=4 SV=1",1,1,0,0,1,0,1,2,0,2,0
Putative sarcoplasmic reticulum glycoprotein OS=Leishmania infantum OX=5671 GN=LINF_190007600 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Putative ser/thr protein phosphatase OS=Leishmania infantum OX=5671 GN=LINF_220022300 PE=4 SV=1,1,1,1,1,0,3,5,4,3,0,3
Putative serine palmitoyltransferase OS=Leishmania infantum OX=5671 GN=LINF_350008300 PE=3 SV=1,3,0,0,7,1,4,4,0,2,1,7
Putative serine/threonine kinase OS=Leishmania infantum OX=5671 GN=LINF_070015200 PE=3 SV=1,6,7,5,4,6,5,11,5,9,7,5
Putative serine/threonine protein phosphatase 2A regulatory subunit OS=Leishmania infantum OX=5671 GN=LINF_200011900 PE=4 SV=1,17,11,17,10,18,10,16,15,17,16,9
Putative serine/threonine-protein kinase OS=Leishmania infantum OX=5671 GN=LINF_290033500 PE=4 SV=1,2,4,10,2,4,8,7,25,11,3,8
Putative serine/threonine-protein kinase OS=Leishmania infantum OX=5671 GN=LINF_300041600 PE=4 SV=1,2,5,4,2,5,0,17,6,0,1,0
Putative serine/threonine-protein kinase OS=Leishmania infantum OX=5671 GN=LINF_310038400 PE=3 SV=1,0,1,5,0,0,0,0,1,1,0,0
Putative serine-threonine dehydratase OS=Leishmania infantum OX=5671 GN=LINF_060013000 PE=4 SV=1,8,4,5,5,3,2,7,2,15,9,3
Putative short chain 3-hydroxyacyl-CoA dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_360017200 PE=3 SV=1,6,7,8,7,9,7,10,7,8,9,9
Putative short chain dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_350017000 PE=3 SV=1,15,12,12,15,23,12,21,12,25,9,15
Putative short chain dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_350017100 PE=4 SV=1,21,31,17,27,32,26,21,20,19,26,27
Putative small GTP-binding protein Rab1 OS=Leishmania infantum OX=5671 GN=LINF_270013800 PE=4 SV=1,32,38,37,37,44,53,39,48,45,29,49
Putative small GTP-binding protein Rab11 OS=Leishmania infantum OX=5671 GN=Rab11 PE=4 SV=1,29,27,25,23,28,28,27,31,27,25,31
Putative small GTP-binding protein Rab18 OS=Leishmania infantum OX=5671 GN=LINF_330026900 PE=4 SV=1,5,3,0,3,4,4,1,0,4,2,2
Putative small GTP-binding protein Rab28 OS=Leishmania infantum OX=5671 GN=LINF_300022000 PE=4 SV=1,1,3,1,0,3,3,3,4,2,3,3
Putative small GTP-binding protein Rab7 OS=Leishmania infantum OX=5671 GN=LINF_100019000 PE=4 SV=1,2,3,4,1,3,3,6,4,1,2,4
Putative small myristoylated protein-1 OS=Leishmania infantum OX=5671 GN=SMP-1 PE=4 SV=1,18,21,19,14,19,20,21,21,32,21,16
Putative small nuclear ribonucleoprotein OS=Leishmania infantum OX=5671 GN=LINF_320016400 PE=4 SV=1,6,5,4,6,8,6,6,6,4,6,6
Putative small Rab GTP binding protein OS=Leishmania infantum OX=5671 GN=LINF_130007100 PE=4 SV=1,1,0,1,0,2,1,4,3,2,4,1
Putative small ubiquitin protein OS=Leishmania infantum OX=5671 GN=LINF_080009800 PE=4 SV=1,1,0,0,0,3,0,1,1,0,0,0
Putative spermidine synthase OS=Leishmania infantum OX=5671 GN=LINF_040010800 PE=3 SV=1,13,13,13,12,14,13,14,12,35,12,12
Putative S-phase kinase-associated protein OS=Leishmania infantum OX=5671 GN=LINF_110018100 PE=3 SV=1,4,4,1,3,5,4,0,3,2,4,1
Putative sphingosine 1-phosphate lyase OS=Leishmania infantum OX=5671 GN=SPL PE=3 SV=1,4,2,2,8,3,3,11,0,5,6,9
Putative splicing factor 3a OS=Leishmania infantum OX=5671 GN=LINF_300023100 PE=3 SV=1,2,2,2,1,4,4,3,2,4,2,2
Putative splicing factor 3B subunit 1 OS=Leishmania infantum OX=5671 GN=LINF_280033100 PE=3 SV=1,8,8,9,6,11,3,7,9,6,9,8
Putative sterol C-24 reductase OS=Leishmania infantum OX=5671 GN=LINF_330013700 PE=3 SV=1,6,5,4,4,9,2,4,5,5,6,5
Putative succinate dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_150018000 PE=4 SV=1,6,3,3,6,5,7,4,4,3,4,6
Putative surface antigen protein 2 OS=Leishmania infantum OX=5671 GN=LINF_120014000 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Putative surface antigen protein 2 OS=Leishmania infantum OX=5671 GN=PSA-50S PE=4 SV=1,7,9,30,7,0,4,4,6,15,12,5
Putative surface protein amastin OS=Leishmania infantum OX=5671 GN=LINF_300014200 PE=4 SV=1,10,7,6,11,5,8,8,10,9,13,7
Putative syntaxin binding protein 1 OS=Leishmania infantum OX=5671 GN=LINF_260028000 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Putative thimet oligopeptidase OS=Leishmania infantum OX=5671 GN=LINF_260020700 PE=3 SV=1,199,135,174,148,146,163,137,154,190,180,229
Putative threonine synthase OS=Leishmania infantum OX=5671 GN=LINF_140008500 PE=3 SV=1,3,4,4,4,2,4,7,4,8,4,3
Putative thymine-7-hydroxylase OS=Leishmania infantum OX=5671 GN=LINF_290007500 PE=3 SV=1,1,4,0,3,0,0,1,1,0,0,0
Putative Tob55 OS=Leishmania infantum OX=5671 GN=LINF_290025600 PE=4 SV=1,18,18,10,20,19,18,15,17,16,20,15
Putative Transitional endoplasmic reticulum ATPase OS=Leishmania infantum OX=5671 GN=LINJ_36_1420 PE=3 SV=1,81,77,78,64,81,76,84,97,86,77,81
Putative translation elongation factor 1-beta OS=Leishmania infantum OX=5671 GN=LINF_360020500 PE=3 SV=1,10,17,12,12,13,21,20,15,26,14,20
Putative translation initiation factor EIF-2b alpha subunit OS=Leishmania infantum OX=5671 GN=LINF_120005000 PE=3 SV=2,0,0,0,0,0,0,0,1,3,0,0
Putative translation initiation factor OS=Leishmania infantum OX=5671 GN=LINF_170020200 PE=4 SV=1,66,70,57,62,55,49,65,47,58,55,47
Putative trans-splicing factor OS=Leishmania infantum OX=5671 GN=LINF_330006400 PE=4 SV=1,3,1,1,0,2,0,2,0,0,1,2
Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase OS=Leishmania infantum OX=5671 GN=LINF_020008800 PE=3 SV=1,0,0,0,0,0,0,1,0,2,1,0
Putative trypanothione synthetase OS=Leishmania infantum OX=5671 GN=TRYS PE=3 SV=1,49,67,63,60,71,56,56,58,72,65,69
Putative tubulin folding cofactor D OS=Leishmania infantum OX=5671 GN=LINF_240026400 PE=4 SV=1,2,4,0,1,6,0,3,1,3,2,2
Putative tubulin-specific chaperone OS=Leishmania infantum OX=5671 GN=LINF_180009600 PE=4 SV=1,2,4,4,5,7,3,4,3,4,3,1
Putative tyrosyl-tRNA synthetase OS=Leishmania infantum OX=5671 GN=LINF_140020100 PE=4 SV=1,18,19,22,16,26,18,20,17,20,17,18
Putative U2 small nuclear ribonucleoprotein 40K OS=Leishmania infantum OX=5671 GN=LINF_320006800 PE=4 SV=1,0,0,1,1,2,2,1,1,0,0,1
Putative U2 splicing auxiliary factor OS=Leishmania infantum OX=5671 GN=LINF_030006700 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Putative ubiquitin carrier protein 4 OS=Leishmania infantum OX=5671 GN=LINF_320012400 PE=3 SV=1,3,3,5,5,6,3,6,2,3,2,3
Putative ubiquitin fusion degradation protein 2 OS=Leishmania infantum OX=5671 GN=LINF_300015700 PE=4 SV=1,3,5,3,6,4,1,6,1,3,1,0
Putative ubiquitin fusion degradation protein OS=Leishmania infantum OX=5671 GN=LINF_360076400 PE=3 SV=1,2,2,1,2,2,2,5,1,6,0,3
Putative ubiquitin hydrolase OS=Leishmania infantum OX=5671 GN=LINF_150020800 PE=4 SV=1,2,16,16,10,10,5,12,4,26,9,3
Putative ubiquitin hydrolase OS=Leishmania infantum OX=5671 GN=LINF_300007500 PE=4 SV=1,3,5,6,8,6,1,6,2,4,2,3
Putative ubiquitin hydrolase OS=Leishmania infantum OX=5671 GN=LINF_320036300 PE=4 SV=1,11,21,14,16,16,6,22,7,5,17,10
Putative ubiquitin-activating enzyme e1 OS=Leishmania infantum OX=5671 GN=LINF_230013100 PE=3 SV=1,50,46,17,31,38,28,34,25,44,63,34
Putative ubiquitin-activating enzyme e1 OS=Leishmania infantum OX=5671 GN=LINF_350035900 PE=3 SV=1,73,110,73,61,102,61,75,59,81,95,64
Putative ubiquitin-conjugating enzyme e2 OS=Leishmania infantum OX=5671 GN=LINF_040011900 PE=3 SV=1,11,8,10,7,12,7,9,6,11,8,9
Putative ubiquitin-conjugating enzyme e2 OS=Leishmania infantum OX=5671 GN=LINF_070014700 PE=3 SV=1,1,0,0,4,0,1,2,1,1,0,1
Putative ubiquitin-conjugating enzyme e2 OS=Leishmania infantum OX=5671 GN=LINF_350017900 PE=3 SV=1,34,24,34,35,38,31,34,34,38,27,34
Putative ubiquitin-conjugating enzyme protein OS=Leishmania infantum OX=5671 GN=LINF_320015200 PE=3 SV=1,6,11,8,9,7,3,8,5,7,7,6
Putative ubiquitin-like protein OS=Leishmania infantum OX=5671 GN=LINF_360010900 PE=4 SV=1,2,4,1,2,2,3,4,2,2,2,1
Putative U-box domain protein OS=Leishmania infantum OX=5671 GN=LINF_290012900 PE=4 SV=1,17,22,21,12,25,10,21,19,23,17,17
Putative UDP-N-acetylglucosamine pyrophosphorylase OS=Leishmania infantum OX=5671 GN=LINF_330034400 PE=4 SV=1,5,8,7,5,10,1,6,6,6,8,6
Putative universal minicircle sequence binding protein (UMSBP) OS=Leishmania infantum OX=5671 GN=HEXBP PE=4 SV=1,12,32,16,32,15,32,28,18,14,18,14
Putative uracil phosphoribosyltransferase OS=Leishmania infantum OX=5671 GN=LINF_340016700 PE=4 SV=1,6,9,6,7,12,3,12,1,8,4,2
Putative vacuolar ATP synthase subunit d OS=Leishmania infantum OX=5671 GN=LINF_350011600 PE=3 SV=2,3,2,3,4,3,2,2,3,1,4,4
Putative vacuolar protein sorting-associated protein OS=Leishmania infantum OX=5671 GN=LINF_360009900 PE=3 SV=1,1,1,3,4,4,4,2,3,1,1,2
Putative vacuolar-type Ca2+-ATPase (Fragment) OS=Leishmania infantum OX=5671 GN=LINJ_07_0700 PE=4 SV=2,4,5,11,16,2,10,11,13,10,11,9
Putative vesicle-associated membrane protein OS=Leishmania infantum OX=5671 GN=LINF_080005200 PE=4 SV=1,23,16,19,24,25,23,31,26,29,22,23
Putative vesicle-associated membrane protein OS=Leishmania infantum OX=5671 GN=LINF_350026300 PE=3 SV=1,3,0,1,1,4,2,1,3,3,0,7
Putative vesicular transport protein (CDC48 homologue) OS=Leishmania infantum OX=5671 GN=LINF_270016900 PE=3 SV=1,0,2,0,0,3,3,2,8,1,1,2
Putative vesicule-associated membrane protein OS=Leishmania infantum OX=5671 GN=LINF_210021000 PE=4 SV=1,10,8,11,9,9,9,10,18,17,9,12
Putative voltage-dependent anion-selective channel OS=Leishmania infantum OX=5671 GN=LINF_020009700 PE=4 SV=1,11,19,15,15,10,13,17,10,8,29,14
"Putative V-type ATPase, C subunit OS=Leishmania infantum OX=5671 GN=LINF_300042400 PE=3 SV=1",0,0,0,0,0,0,0,0,0,0,0
"Putative X-pro, dipeptidyl-peptidase,serine peptidase,Clan SC, family S15 OS=Leishmania infantum OX=5671 GN=LINF_280026000 PE=4 SV=1",15,27,12,7,15,8,12,8,11,18,13
Putative zinc finger-domain protein OS=Leishmania infantum OX=5671 GN=LINF_300041500 PE=4 SV=1,1,0,2,2,0,0,1,0,1,0,0
Putative zinc transporter OS=Leishmania infantum OX=5671 GN=LINF_280025700 PE=4 SV=1,4,5,0,8,0,7,4,3,0,3,5
Putative zinc-finger protein ZPR1 OS=Leishmania infantum OX=5671 GN=LINF_170021500 PE=3 SV=1,1,4,3,4,4,4,5,3,4,4,4
Putative_intraflagellar_transport_protein_A1 OS=Leishmania infantum OX=5671 GN=LINF_250020500 PE=3 SV=1,4,5,4,3,4,2,6,3,4,5,4
Putative_intraflagellar_transport_protein_B2 OS=Leishmania infantum OX=5671 GN=LINF_290006400 PE=3 SV=1,20,5,15,9,11,4,12,10,14,6,9
